                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08153,                0.79221,                      1,                0.20742,             0.00023683,             0.00023683,             0.00023683
                      2,                0.04977,                0.80519,                      1,                0.21466,             0.00047013,             0.00047013,             0.00047013
                      3,                0.04363,                 0.7013,                      1,                0.23299,             0.00069872,             0.00069872,             0.00069872
                      4,                0.03439,                0.74026,                      1,                 0.2194,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02853,                0.74026,                      1,                0.23389,             0.00069279,             0.00069279,             0.00069279
                      6,                0.02347,                0.74026,                      1,                0.22542,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01598,                0.72727,                      1,                0.22125,             0.00067866,             0.00067866,             0.00067866
                      8,                0.02158,                0.75325,                      1,                0.21993,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01367,                0.67532,                      1,                0.23826,             0.00066452,             0.00066452,             0.00066452
                     10,                0.01234,                0.71429,                      1,                0.22603,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01246,                0.76623,                      1,                0.21397,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01475,                0.75325,                      1,                 0.2219,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00913,                0.75325,                      1,                0.21611,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00784,                0.76623,                      1,                0.21084,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00728,                0.75325,                      1,                0.22921,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00986,                0.71429,                      1,                0.22233,             0.00061504,             0.00061504,             0.00061504
                     17,                0.01168,                0.77922,                      1,                0.20982,             0.00060797,             0.00060797,             0.00060797
                     18,                0.01076,                0.76623,                      1,                0.21682,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00902,                0.74026,                      1,                0.22982,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00778,                0.77922,                      1,                0.21118,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.0075,                0.74026,                      1,                0.21623,              0.0005797,              0.0005797,              0.0005797
                     22,                 0.0078,                0.79221,                      1,                0.20435,             0.00057263,             0.00057263,             0.00057263
