                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.08469,                0.74026,                      1,                0.21686,             0.00023683,             0.00023683,             0.00023683
                      2,                0.04246,                0.75325,                      1,                0.21124,             0.00047013,             0.00047013,             0.00047013
                      3,                0.04398,                0.75325,                      1,                0.22034,             0.00069872,             0.00069872,             0.00069872
                      4,                 0.0261,                0.76623,                      1,                0.21971,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02136,                0.75325,                      1,                0.22695,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01974,                0.76623,                      1,                0.20445,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01257,                0.84416,                      1,                0.19041,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01433,                0.76623,                      1,                0.21497,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01752,                0.77922,                      1,                0.21267,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00978,                0.81818,                      1,                0.20074,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01397,                0.76623,                      1,                0.22294,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01669,                0.77922,                      1,                0.21244,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01003,                0.83117,                      1,                0.19537,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00931,                0.80519,                      1,                0.20192,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00784,                0.83117,                      1,                0.19867,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00707,                0.81818,                      1,                0.19491,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00651,                0.85714,                      1,                0.19019,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00713,                0.81818,                      1,                 0.1957,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00673,                0.76623,                      1,                0.21615,             0.00059383,             0.00059383,             0.00059383
                     20,                 0.0079,                0.77922,                      1,                0.21499,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00615,                0.74026,                      1,                0.22148,              0.0005797,              0.0005797,              0.0005797
                     22,                 0.0069,                0.76623,                      1,                0.21726,             0.00057263,             0.00057263,             0.00057263
                     23,                 0.0065,                0.79221,                      1,                0.21098,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00663,                0.76623,                      1,                0.21126,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00881,                0.77922,                      1,                0.20911,             0.00055142,             0.00055142,             0.00055142
                     26,                0.01789,                0.72727,                      1,                0.21867,             0.00054435,             0.00054435,             0.00054435
                     27,                0.01458,                0.81818,                      1,                0.20205,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00843,                0.76623,                      1,                0.21507,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00666,                0.72727,                      1,                0.23051,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00721,                0.80519,                      1,                 0.2015,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00643,                0.77922,                      1,                0.20544,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00717,                0.77922,                      1,                0.20927,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00629,                0.77922,                      1,                0.21045,             0.00049487,             0.00049487,             0.00049487
                     34,                 0.0059,                0.75325,                      1,                0.22162,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00668,                0.79221,                      1,                0.20878,             0.00048074,             0.00048074,             0.00048074
                     36,                0.00703,                0.74026,                      1,                0.21812,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00751,                0.75325,                      1,                0.22345,              0.0004666,              0.0004666,              0.0004666
