                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.09271,                0.77922,                      1,                0.21366,             0.00023683,             0.00023683,             0.00023683
                      2,                0.03711,                0.72727,                      1,                 0.2172,             0.00047013,             0.00047013,             0.00047013
                      3,                0.03436,                0.71429,                      1,                0.23242,             0.00069872,             0.00069872,             0.00069872
                      4,                0.02821,                0.72727,                      1,                0.22915,             0.00069279,             0.00069279,             0.00069279
                      5,                0.02737,                0.76623,                      1,                0.21692,             0.00069279,             0.00069279,             0.00069279
                      6,                0.01914,                0.74026,                      1,                0.21558,             0.00068573,             0.00068573,             0.00068573
                      7,                0.01104,                0.77922,                      1,                0.20945,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01076,                0.72727,                      1,                0.21712,             0.00067159,             0.00067159,             0.00067159
                      9,                0.00898,                0.77922,                      1,                0.20776,             0.00066452,             0.00066452,             0.00066452
                     10,                0.00715,                0.81818,                      1,                0.19499,             0.00065745,             0.00065745,             0.00065745
                     11,                0.00831,                0.75325,                      1,                0.21493,             0.00065038,             0.00065038,             0.00065038
                     12,                0.00834,                0.83117,                      1,                0.19847,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00917,                0.75325,                      1,                0.22176,             0.00063625,             0.00063625,             0.00063625
                     14,                0.00812,                0.77922,                      1,                0.20347,             0.00062918,             0.00062918,             0.00062918
                     15,                0.00817,                0.75325,                      1,                0.21336,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00788,                0.76623,                      1,                0.21688,             0.00061504,             0.00061504,             0.00061504
                     17,                 0.0081,                0.75325,                      1,                0.22278,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00755,                0.77922,                      1,                0.20866,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00757,                0.80519,                      1,                0.20872,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00901,                0.76623,                      1,                0.21381,             0.00058677,             0.00058677,             0.00058677
                     21,                 0.0101,                0.79221,                      1,                0.20717,              0.0005797,              0.0005797,              0.0005797
                     22,                0.01895,                0.81818,                      1,                0.19655,             0.00057263,             0.00057263,             0.00057263
                     23,                0.01029,                0.77922,                      1,                0.21041,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00763,                0.79221,                      1,                0.21265,             0.00055849,             0.00055849,             0.00055849
                     25,                0.00789,                0.83117,                      1,                0.19897,             0.00055142,             0.00055142,             0.00055142
                     26,                0.00683,                0.83117,                      1,                0.19279,             0.00054435,             0.00054435,             0.00054435
                     27,                0.00647,                0.81818,                      1,                0.19698,             0.00053728,             0.00053728,             0.00053728
                     28,                0.00702,                0.81818,                      1,                0.19922,             0.00053022,             0.00053022,             0.00053022
                     29,                0.00561,                0.81818,                      1,                 0.1991,             0.00052315,             0.00052315,             0.00052315
                     30,                0.00666,                0.85714,                      1,                 0.1877,             0.00051608,             0.00051608,             0.00051608
                     31,                0.00582,                0.81818,                      1,                0.19511,             0.00050901,             0.00050901,             0.00050901
                     32,                0.00652,                0.81818,                      1,                0.20015,             0.00050194,             0.00050194,             0.00050194
                     33,                0.00546,                0.80519,                      1,                 0.2052,             0.00049487,             0.00049487,             0.00049487
                     34,                  0.006,                0.76623,                      1,                 0.2086,              0.0004878,              0.0004878,              0.0004878
                     35,                0.00583,                0.79221,                      1,                0.20518,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.0064,                0.77922,                      1,                0.20717,             0.00047367,             0.00047367,             0.00047367
                     37,                0.00736,                0.76623,                      1,                0.21568,              0.0004666,              0.0004666,              0.0004666
                     38,                0.00809,                0.77922,                      1,                0.21853,             0.00045953,             0.00045953,             0.00045953
                     39,                0.00946,                0.79221,                      1,                0.21075,             0.00045246,             0.00045246,             0.00045246
                     40,                0.00711,                0.77922,                      1,                0.20654,             0.00044539,             0.00044539,             0.00044539
                     41,                0.00595,                0.79221,                      1,                0.20512,             0.00043832,             0.00043832,             0.00043832
                     42,                0.00569,                0.72727,                      1,                0.21521,             0.00043126,             0.00043126,             0.00043126
                     43,                0.00567,                0.76623,                      1,                0.20778,             0.00042419,             0.00042419,             0.00042419
                     44,                0.00601,                0.76623,                      1,                0.21647,             0.00041712,             0.00041712,             0.00041712
                     45,                0.00601,                0.76623,                      1,                0.21242,             0.00041005,             0.00041005,             0.00041005
                     46,                  0.006,                0.76623,                      1,                 0.2112,             0.00040298,             0.00040298,             0.00040298
                     47,                0.00641,                0.81818,                      1,                0.20119,             0.00039591,             0.00039591,             0.00039591
                     48,                0.00584,                0.79221,                      1,                0.20396,             0.00038884,             0.00038884,             0.00038884
                     49,                0.00701,                0.77922,                      1,                   0.21,             0.00038178,             0.00038178,             0.00038178
                     50,                 0.0065,                0.76623,                      1,                0.21313,             0.00037471,             0.00037471,             0.00037471
