                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.07826,                0.76623,                      1,                0.22142,             0.00023683,             0.00023683,             0.00023683
                      2,                0.05235,                0.72727,                      1,                0.22083,             0.00047013,             0.00047013,             0.00047013
                      3,                0.04091,                0.72727,                      1,                 0.2229,             0.00069872,             0.00069872,             0.00069872
                      4,                0.04403,                0.81818,                      1,                0.20797,             0.00069279,             0.00069279,             0.00069279
                      5,                0.03354,                0.77922,                      1,                0.23739,             0.00069279,             0.00069279,             0.00069279
                      6,                0.03211,                0.76623,                      1,                0.21785,             0.00068573,             0.00068573,             0.00068573
                      7,                0.02162,                0.79221,                      1,                0.21006,             0.00067866,             0.00067866,             0.00067866
                      8,                0.01557,                0.76623,                      1,                0.22412,             0.00067159,             0.00067159,             0.00067159
                      9,                0.01327,                0.75325,                      1,                0.21572,             0.00066452,             0.00066452,             0.00066452
                     10,                 0.0143,                0.77922,                      1,                0.20933,             0.00065745,             0.00065745,             0.00065745
                     11,                0.01293,                0.76623,                      1,                0.21985,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01563,                0.80519,                      1,                0.19938,             0.00064331,             0.00064331,             0.00064331
                     13,                0.01631,                0.77922,                      1,                0.21948,             0.00063625,             0.00063625,             0.00063625
                     14,                0.01168,                0.76623,                      1,                 0.2313,             0.00062918,             0.00062918,             0.00062918
                     15,                0.01324,                0.77922,                      1,                0.22095,             0.00062211,             0.00062211,             0.00062211
                     16,                0.00837,                0.74026,                      1,                0.22508,             0.00061504,             0.00061504,             0.00061504
                     17,                0.00758,                0.75325,                      1,                0.22559,             0.00060797,             0.00060797,             0.00060797
                     18,                0.00917,                0.77922,                      1,                0.21883,              0.0006009,              0.0006009,              0.0006009
                     19,                0.00799,                0.77922,                      1,                0.22007,             0.00059383,             0.00059383,             0.00059383
                     20,                0.00741,                0.75325,                      1,                0.22701,             0.00058677,             0.00058677,             0.00058677
                     21,                0.00677,                 0.7013,                      1,                0.23499,              0.0005797,              0.0005797,              0.0005797
                     22,                0.00844,                0.75325,                      1,                0.22605,             0.00057263,             0.00057263,             0.00057263
                     23,                0.00775,                0.75325,                      1,                0.22221,             0.00056556,             0.00056556,             0.00056556
                     24,                0.00796,                0.75325,                      1,                0.22192,             0.00055849,             0.00055849,             0.00055849
